raisedhands,VisITedResources,AnnouncementsView,Discussion,gender,NationalITy,PlaceofBirth,GradeID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
35.0,2.0,29.0,23.0,M,Jordan,Jordan,G-02,Arabic,S,Father,No,Bad,Under-7,M
20.0,52.0,23.0,33.0,M,Syria,Syria,G-02,French,S,Mum,Yes,Good,Above-7,L
70.0,90.0,2.0,2.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Under-7,L
99.0,96.0,89.0,84.0,M,Palestine,Jordan,G-07,Biology,S,Father,Yes,Good,Under-7,H
70.0,90.0,20.0,21.0,F,Palestine,Jordan,G-02,French,F,Mum,No,Good,Under-7,M
19.0,74.0,32.0,17.0,M,Egypt,Egypt,G-04,English,S,Mum,No,Good,Above-7,L
14.0,97.0,15.0,14.0,F,Jordan,Jordan,G-02,French,F,Mum,No,Good,Under-7,H
85.0,99.0,42.0,90.0,F,Jordan,Jordan,G-08,Chemistry,F,Mum,Yes,Good,Under-7,H
79.0,72.0,79.0,83.0,M,Palestine,Jordan,G-07,Biology,S,Father,Yes,Good,Under-7,M
8.0,15.0,10.0,40.0,M,KW,KuwaIT,G-07,Math,F,Father,Yes,Bad,Under-7,L
81.0,86.0,86.0,41.0,M,Palestine,Jordan,G-08,History,F,Father,Yes,Good,Under-7,M
12.0,8.0,18.0,26.0,M,KW,KuwaIT,G-07,Science,S,Father,No,Bad,Above-7,L
10.0,8.0,9.0,3.0,M,Lybia,Lybia,G-02,French,F,Mum,No,Good,Above-7,L
72.0,80.0,58.0,66.0,F,KW,KuwaIT,G-07,Science,S,Mum,Yes,Good,Above-7,M
72.0,84.0,89.0,89.0,F,Jordan,lebanon,G-04,Science,S,Mum,Yes,Good,Under-7,H
17.0,21.0,42.0,14.0,M,KW,KuwaIT,G-08,Spanish,S,Father,Yes,Good,Under-7,M
60.0,60.0,33.0,90.0,F,KW,KuwaIT,G-07,IT,F,Father,No,Bad,Above-7,M
16.0,90.0,15.0,11.0,F,Iraq,Iraq,G-02,French,F,Father,No,Good,Under-7,M
75.0,80.0,15.0,20.0,F,Palestine,Jordan,G-02,French,S,Mum,No,Good,Under-7,M
98.0,88.0,60.0,31.0,F,Palestine,Jordan,G-02,Arabic,F,Mum,No,Good,Under-7,H
81.0,84.0,77.0,85.0,M,Jordan,Jordan,G-08,History,S,Mum,Yes,Good,Under-7,H
42.0,24.0,12.0,24.0,F,Jordan,Jordan,G-04,Science,S,Father,No,Bad,Above-7,L
9.0,7.0,21.0,20.0,M,Syria,Jordan,G-08,Spanish,S,Father,Yes,Good,Above-7,L
10.0,94.0,40.0,11.0,F,Jordan,Jordan,G-02,French,F,Mum,Yes,Good,Under-7,M
80.0,80.0,51.0,59.0,M,SaudiArabia,SaudiArabia,G-11,Quran,S,Father,Yes,Good,Under-7,H
80.0,80.0,62.0,11.0,M,Jordan,Jordan,G-08,Chemistry,F,Mum,Yes,Good,Above-7,M
70.0,98.0,7.0,5.0,F,lebanon,lebanon,G-02,IT,F,Father,Yes,Good,Under-7,M
72.0,65.0,73.0,66.0,F,Morocco,Morocco,G-02,French,S,Mum,Yes,Good,Under-7,H
15.0,16.0,2.0,20.0,M,KW,KuwaIT,G-04,IT,F,Father,Yes,Good,Under-7,M
70.0,40.0,2.0,16.0,F,KW,KuwaIT,G-06,Quran,S,Father,No,Bad,Above-7,L
70.0,98.0,54.0,72.0,M,Jordan,Palestine,G-07,Biology,S,Mum,Yes,Good,Under-7,H
10.0,17.0,12.0,14.0,M,KW,KuwaIT,G-04,History,S,Father,No,Bad,Above-7,L
15.0,43.0,42.0,33.0,M,KW,KuwaIT,G-08,Arabic,S,Father,Yes,Good,Under-7,M
72.0,76.0,66.0,40.0,M,Jordan,Jordan,G-08,Chemistry,S,Mum,Yes,Good,Above-7,L
50.0,77.0,14.0,28.0,F,Jordan,Jordan,G-08,Geology,F,Father,No,Bad,Under-7,M
2.0,9.0,10.0,1.0,M,Jordan,Jordan,G-07,Biology,F,Mum,No,Bad,Above-7,L
72.0,80.0,98.0,96.0,M,KW,KuwaIT,G-07,Science,S,Mum,Yes,Bad,Under-7,H
79.0,88.0,79.0,20.0,M,Jordan,Jordan,G-08,Chemistry,S,Mum,Yes,Good,Above-7,M
13.0,3.0,11.0,9.0,M,KW,KuwaIT,G-11,Quran,F,Father,No,Bad,Above-7,L
8.0,25.0,1.0,70.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Above-7,L
30.0,25.0,5.0,35.0,M,KW,KuwaIT,G-04,IT,F,Father,No,Bad,Above-7,L
5.0,20.0,1.0,50.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Above-7,L
95.0,87.0,62.0,81.0,M,Jordan,SaudiArabia,G-08,Geology,F,Father,No,Bad,Under-7,M
80.0,88.0,51.0,39.0,M,Palestine,Jordan,G-02,Arabic,S,Father,Yes,Good,Under-7,H
35.0,2.0,29.0,23.0,M,Jordan,Jordan,G-02,Arabic,S,Father,No,Bad,Above-7,L
7.0,9.0,5.0,30.0,F,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Above-7,L
70.0,89.0,12.0,21.0,F,Jordan,Jordan,G-07,Biology,F,Mum,No,Good,Under-7,H
15.0,52.0,83.0,11.0,F,USA,USA,G-02,French,S,Mum,Yes,Bad,Under-7,M
32.0,80.0,58.0,46.0,F,Jordan,Jordan,G-07,Science,S,Mum,Yes,Good,Above-7,M
80.0,97.0,86.0,95.0,F,KW,KuwaIT,G-04,History,S,Father,Yes,Good,Under-7,M
16.0,14.0,6.0,20.0,M,KW,KuwaIT,G-07,Math,F,Father,Yes,Good,Above-7,L
50.0,10.0,15.0,22.0,M,KW,KuwaIT,G-07,Math,F,Father,Yes,Good,Under-7,M
20.0,77.0,31.0,88.0,M,Jordan,Jordan,G-02,Arabic,S,Mum,Yes,Good,Under-7,M
7.0,9.0,11.0,10.0,M,Egypt,Egypt,G-02,French,S,Mum,No,Good,Above-7,L
87.0,79.0,73.0,98.0,M,Jordan,SaudiArabia,G-08,Geology,S,Father,No,Bad,Under-7,M
66.0,90.0,55.0,12.0,F,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Above-7,M
69.0,82.0,20.0,28.0,M,Iraq,Iraq,G-02,Arabic,F,Mum,Yes,Good,Under-7,H
6.0,2.0,38.0,12.0,F,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Under-7,M
19.0,19.0,25.0,40.0,M,KW,KuwaIT,G-07,IT,F,Father,Yes,Bad,Under-7,M
12.0,20.0,38.0,46.0,M,Egypt,KuwaIT,G-07,Science,S,Father,No,Bad,Above-7,M
69.0,34.0,12.0,17.0,M,KW,KuwaIT,G-04,English,S,Mum,No,Bad,Above-7,L
50.0,79.0,10.0,31.0,M,Jordan,Jordan,G-07,Biology,F,Father,No,Bad,Under-7,M
80.0,71.0,52.0,51.0,F,KW,KuwaIT,G-08,Arabic,S,Father,Yes,Good,Under-7,M
87.0,65.0,82.0,33.0,M,lebanon,Jordan,G-08,Arabic,S,Mum,Yes,Good,Under-7,H
80.0,77.0,63.0,83.0,F,Jordan,Palestine,G-02,French,F,Mum,Yes,Good,Under-7,M
10.0,2.0,13.0,53.0,M,Iran,Iran,G-02,French,S,Father,No,Bad,Above-7,L
19.0,70.0,3.0,50.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Under-7,L
70.0,82.0,3.0,73.0,F,Jordan,Jordan,G-02,French,S,Mum,No,Bad,Under-7,H
75.0,85.0,73.0,80.0,F,Jordan,Palestine,G-02,French,S,Mum,Yes,Good,Under-7,M
27.0,22.0,22.0,40.0,F,USA,USA,G-07,Math,F,Father,No,Good,Under-7,M
79.0,93.0,49.0,23.0,F,Iraq,Iraq,G-02,Arabic,S,Mum,Yes,Good,Under-7,H
92.0,80.0,88.0,76.0,M,Egypt,Egypt,G-07,Science,S,Mum,Yes,Good,Under-7,H
10.0,20.0,22.0,97.0,F,Jordan,Jordan,G-02,Arabic,F,Father,No,Bad,Above-7,L
82.0,89.0,58.0,50.0,F,Jordan,Jordan,G-07,Science,S,Mum,Yes,Good,Under-7,H
50.0,62.0,73.0,43.0,F,Jordan,Jordan,G-02,French,S,Father,Yes,Bad,Above-7,M
55.0,89.0,40.0,40.0,M,USA,USA,G-02,IT,F,Father,Yes,Good,Under-7,H
35.0,14.0,23.0,62.0,F,Jordan,Jordan,G-08,History,S,Father,No,Bad,Above-7,L
80.0,83.0,82.0,71.0,M,Iraq,Iraq,G-08,Geology,F,Father,Yes,Good,Above-7,M
78.0,91.0,50.0,40.0,M,Jordan,Palestine,G-07,Biology,F,Mum,Yes,Good,Under-7,H
13.0,82.0,20.0,30.0,F,Jordan,Jordan,G-02,French,F,Mum,No,Good,Under-7,H
14.0,13.0,3.0,70.0,F,KW,KuwaIT,G-07,IT,F,Father,No,Bad,Above-7,L
59.0,97.0,42.0,70.0,M,KW,KuwaIT,G-04,English,S,Father,Yes,Good,Under-7,H
97.0,87.0,82.0,86.0,F,Jordan,Jordan,G-06,English,S,Mum,No,Good,Under-7,H
75.0,71.0,76.0,80.0,M,Palestine,Jordan,G-06,English,S,Mum,Yes,Good,Under-7,M
15.0,90.0,52.0,83.0,M,KW,KuwaIT,G-08,Arabic,S,Mum,Yes,Bad,Under-7,H
62.0,68.0,48.0,80.0,F,KW,KuwaIT,G-07,Science,S,Father,Yes,Good,Under-7,M
22.0,30.0,10.0,12.0,M,Jordan,Jordan,G-07,IT,F,Father,Yes,Good,Above-7,L
80.0,80.0,15.0,70.0,M,KW,KuwaIT,G-07,Quran,S,Father,Yes,Good,Under-7,H
80.0,44.0,35.0,10.0,F,KW,KuwaIT,G-02,IT,F,Father,No,Good,Above-7,L
0.0,5.0,7.0,2.0,M,KW,KuwaIT,G-10,IT,F,Father,No,Bad,Above-7,L
3.0,12.0,4.0,33.0,F,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Under-7,L
10.0,9.0,2.0,1.0,F,Lybia,Lybia,G-07,Biology,F,Mum,No,Good,Above-7,L
100.0,75.0,50.0,70.0,F,Jordan,lebanon,G-07,Quran,S,Mum,Yes,Bad,Under-7,H
10.0,7.0,0.0,30.0,M,KW,KuwaIT,G-04,IT,F,Father,No,Bad,Above-7,L
39.0,88.0,43.0,72.0,F,Jordan,Jordan,G-08,History,S,Father,Yes,Good,Under-7,M
20.0,14.0,12.0,70.0,F,KW,KuwaIT,G-12,English,F,Father,No,Bad,Above-7,L
49.0,36.0,32.0,44.0,F,Jordan,Jordan,G-04,Science,F,Father,No,Bad,Above-7,L
30.0,40.0,22.0,66.0,F,KW,KuwaIT,G-06,IT,F,Father,Yes,Good,Under-7,M
10.0,3.0,0.0,30.0,F,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Under-7,M
0.0,2.0,3.0,70.0,M,KW,KuwaIT,G-07,IT,F,Father,Yes,Good,Above-7,L
90.0,86.0,82.0,74.0,F,Palestine,Palestine,G-04,Science,F,Mum,Yes,Good,Under-7,H
15.0,9.0,14.0,80.0,F,Jordan,Jordan,G-08,Chemistry,F,Father,No,Bad,Above-7,L
72.0,90.0,12.0,30.0,M,KW,KuwaIT,G-08,Spanish,S,Mum,No,Bad,Under-7,M
78.0,82.0,78.0,53.0,M,Palestine,Jordan,G-08,History,S,Father,Yes,Good,Under-7,M
80.0,92.0,83.0,43.0,M,Tunis,Tunis,G-02,French,S,Mum,Yes,Good,Under-7,H
85.0,87.0,72.0,10.0,M,Jordan,Jordan,G-08,Chemistry,F,Mum,Yes,Good,Above-7,M
5.0,3.0,2.0,10.0,M,KW,KuwaIT,G-08,Spanish,S,Father,Yes,Good,Under-7,L
32.0,60.0,58.0,66.0,M,KW,KuwaIT,G-07,Science,S,Mum,Yes,Good,Above-7,M
50.0,70.0,50.0,10.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Above-7,H
79.0,91.0,49.0,22.0,F,Jordan,Jordan,G-08,Chemistry,S,Father,Yes,Good,Under-7,H
96.0,61.0,42.0,94.0,M,KW,KuwaIT,G-08,Spanish,S,Mum,Yes,Bad,Under-7,H
7.0,5.0,2.0,80.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Above-7,L
19.0,20.0,16.0,50.0,M,KW,KuwaIT,G-07,IT,F,Father,No,Good,Under-7,M
83.0,75.0,62.0,53.0,M,KW,KuwaIT,G-08,Arabic,S,Mum,No,Bad,Under-7,H
59.0,90.0,19.0,43.0,F,Jordan,Jordan,G-07,Biology,S,Mum,No,Good,Under-7,H
5.0,21.0,42.0,14.0,M,KW,KuwaIT,G-08,Spanish,S,Father,No,Good,Above-7,L
11.0,20.0,20.0,98.0,F,Jordan,Jordan,G-02,Arabic,F,Father,No,Bad,Above-7,L
80.0,82.0,64.0,58.0,F,Jordan,Jordan,G-08,Geology,F,Mum,Yes,Good,Under-7,H
86.0,98.0,50.0,20.0,F,Iraq,Iraq,G-07,Biology,F,Mum,Yes,Good,Under-7,H
25.0,15.0,32.0,53.0,F,lebanon,lebanon,G-08,Arabic,S,Father,No,Bad,Under-7,M
5.0,13.0,6.0,6.0,M,Egypt,Egypt,G-02,French,F,Mum,No,Good,Above-7,L
80.0,87.0,74.0,68.0,M,Palestine,Palestine,G-08,Geology,F,Father,Yes,Good,Under-7,M
30.0,35.0,28.0,90.0,F,KW,KuwaIT,G-09,IT,F,Father,Yes,Good,Under-7,M
70.0,4.0,39.0,90.0,F,KW,KuwaIT,G-12,English,F,Mum,Yes,Good,Under-7,H
60.0,60.0,3.0,60.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Under-7,M
32.0,14.0,32.0,29.0,M,Jordan,Jordan,G-04,Science,S,Father,No,Good,Above-7,M
88.0,90.0,76.0,81.0,M,Palestine,Jordan,G-07,Biology,F,Father,Yes,Good,Under-7,H
15.0,50.0,24.0,43.0,F,Jordan,Jordan,G-04,Science,F,Father,Yes,Bad,Under-7,M
70.0,90.0,41.0,33.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Bad,Under-7,H
10.0,10.0,40.0,51.0,M,Jordan,Jordan,G-02,Arabic,F,Father,No,Bad,Above-7,L
12.0,0.0,6.0,13.0,M,KW,KuwaIT,G-07,IT,F,Father,No,Bad,Under-7,L
